GERENCIA_SERVICIOS,EQUIPO_COMERCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,TARIFA,CONEXIONES_AGUA,CONEXIONES_ALCANTARILLADO,ANIO,MES,FECHA_CORTE
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,LURIN,150119,COMERCIAL,409,404,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,LURIN,150119,INDUSTRIAL,39,38,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,LURIN,150119,ESTATAL,0,0,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PACHACAMAC,150123,SOCIAL,67,34,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PACHACAMAC,150123,DOMESTICO,19162,19125,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PACHACAMAC,150123,COMERCIAL,400,376,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PACHACAMAC,150123,INDUSTRIAL,35,36,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PACHACAMAC,150123,ESTATAL,0,0,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUCUSANA,150124,SOCIAL,15,8,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUCUSANA,150124,DOMESTICO,1696,1663,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUCUSANA,150124,COMERCIAL,70,70,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUCUSANA,150124,INDUSTRIAL,3,3,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUCUSANA,150124,ESTATAL,2,2,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA NEGRA,150127,SOCIAL,18,4,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA NEGRA,150127,DOMESTICO,2552,2451,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA NEGRA,150127,COMERCIAL,45,44,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA NEGRA,150127,INDUSTRIAL,8,8,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA NEGRA,150127,ESTATAL,0,0,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA HERMOSA,150126,SOCIAL,2,2,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA HERMOSA,150126,DOMESTICO,2763,2734,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA HERMOSA,150126,COMERCIAL,106,106,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA HERMOSA,150126,INDUSTRIAL,26,28,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA HERMOSA,150126,ESTATAL,0,0,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SAN BARTOLO,150129,SOCIAL,6,6,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SAN BARTOLO,150129,DOMESTICO,2532,2446,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SAN BARTOLO,150129,COMERCIAL,85,79,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SAN BARTOLO,150129,INDUSTRIAL,15,16,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SAN BARTOLO,150129,ESTATAL,0,0,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SAN JUAN DE MIRAFLORES,150133,SOCIAL,137,97,2026,202605,20260531
